Nombre_Estacion,Latitud,Longitud,Sequence,ID,Linea
Martín Carrera,19.4829388216674,-99.1074753125371,147,SH0200L6000_0,6
La Villa y Basílica,19.4817788878622,-99.11920586554449,126,SH0200L6000_0,6
Deportivo 18 de Marzo,19.483357988066302,-99.1247615891076,118,SH0200L6000_0,6
Lindavista,19.48775237381989,-99.1343002426164,104,SH0200L6000_0,6
Instituto del Petróleo,19.490632276,-99.146079855,88,SH0200L6000_0,6
Vallejo,19.4915398092476,-99.153408448129,78,SH0200L6000_0,6
Norte 45,19.4890212278246,-99.1636381012776,64,SH0200L6000_0,6
Ferrería y Arena Ciudad de México,19.4905832210001,-99.174592592,49,SH0200L6000_0,6
UAM Azcapotzalco,19.491605309,-99.188724824,38,SH0200L6000_0,6
Tezozómoc,19.495563435000104,-99.197993218,22,SH0200L6000_0,6
El Rosario,19.5046301438342,-99.19976981604844,1,SH0200L6000_0,6
