Nombre_Estacion,Latitud,Longitud,Sequence,ID,Linea
La Paz,19.3505615721907,-98.9609372506497,115,SH0200LA000_0,A
Los Reyes,19.358900651944,-98.9777288907947,86,SH0200LA000_0,A
Santa Marta,19.3602336008896,-98.994349133389,71,SH0200LA000_0,A
Acatitla,19.3652409660579,-99.0063225904129,56,SH0200LA000_0,A
Penón Viejo,19.3728105525824,-99.0163749968221,51,SH0200LA000_0,A
Guelatao,19.38472046265889,-99.0349143026566,40,SH0200LA000_0,A
Tepalcates,19.390861702691,-99.0456046754554,33,SH0200LA000_0,A
Canal de San Juan,19.3984097764476,-99.0588128084052,29,SH0200LA000_0,A
Agrícola Oriental,19.4050322400204,-99.0702854089748,24,SH0200LA000_0,A
Pantitlán,19.4152975242449,-99.071922936739,1,SH0200LA000_0,A
