Nombre_Estacion,Latitud,Longitud,Sequence,ID,Linea
Buenavista,19.446185903558,-99.1523513773835,1,SH0200LB000_0,B
Guerrero,19.4441177857558,-99.14001109426,2,SH0200LB000_0,B
Garibaldi y Lagunilla,19.443940615446,-99.1385956964324,6,SH0200LB000_0,B
Lagunilla,19.443239311019003,-99.13060298216008,12,SH0200LB000_0,B
Tepito,19.4427545509938,-99.1236100986771,19,SH0200LB000_0,B
Morelos,19.4386936766448,-99.1191536386891,30,SH0200LB000_0,B
San Lázaro,19.4320722526032,-99.1136053911114,71,SH0200LB000_0,B
Ricardo Flores Magón,19.436595464,-99.10364204099992,82,SH0200LB000_0,B
Romero Rubio,19.44091415255789,-99.09403227276007,85,SH0200LB000_0,B
Oceanía,19.445287677804,-99.0877852132782,89,SH0200LB000_0,B
Deportivo Oceanía,19.4510453020001,-99.079270609,96,SH0200LB000_0,B
Bosque de Aragón,19.45764922469689,-99.0699008536222,101,SH0200LB000_0,B
Villa de Aragón,19.46193616301111,-99.0604758059323,117,SH0200LB000_0,B
Nezahualcóyotl,19.4735583265944,-99.0543165730999,140,SH0200LB000_0,B
Impulsora,19.4864801182067,-99.0486346360025,145,SH0200LB000_0,B
Río de los Remedios,19.4914512761912,-99.0464518205736,147,SH0200LB000_0,B
Múzquiz,19.5023065588794,-99.04171031265508,152,SH0200LB000_0,B
Ecatepec,19.515885895811103,-99.0357329929144,164,SH0200LB000_0,B
Olímpica,19.5221032475068,-99.03300825826192,169,SH0200LB000_0,B
Plaza Aragón,19.5292471772558,-99.0298219725198,174,SH0200LB000_0,B
Ciudad Azteca,19.5345130652073,-99.0275097175891,179,SH0200LB000_0,B
