shape_id,shape_pt_sequence,shape_pt_lon,shape_dist_traveled,shape_pt_lat
SH0200L7000_0,1,-99.20011586554968,0.0,19.5047378741249
SH0200L7000_0,2,-99.20031276678291,0.07,19.5041427394522
SH0200L7000_0,3,-99.2009094503992,0.28,19.502307743055
SH0200L7000_0,4,-99.20131954178308,0.43,19.5010358392486
SH0200L7000_0,5,-99.2016498092085,0.55,19.5000401963332
SH0200L7000_0,6,-99.2017066021453,0.58,19.4998122549874
SH0200L7000_0,7,-99.2017491885764,0.61,19.4995874456495
SH0200L7000_0,8,-99.201759046236,0.63,19.4994033212064
SH0200L7000_0,9,-99.2017562669256,0.65,19.49919530000589
SH0200L7000_0,10,-99.2017282700726,0.67,19.4989849158221
SH0200L7000_0,11,-99.2016573937381,0.7,19.4987626239834
SH0200L7000_0,12,-99.2015638571003,0.72,19.4985666592694
SH0200L7000_0,13,-99.2014299952519,0.74,19.4983850858834
SH0200L7000_0,14,-99.2003268064201,0.91,19.497317495382102
SH0200L7000_0,15,-99.2000188507656,0.95,19.4970404700944
SH0200L7000_0,16,-99.19971585394129,1.0,19.4966940973364
SH0200L7000_0,17,-99.1993446161541,1.07,19.4962138984472
SH0200L7000_0,18,-99.1987711774077,1.19,19.4953322185591
SH0200L7000_0,19,-99.1980184238327,1.34,19.4942020600292
SH0200L7000_0,20,-99.19690950099992,1.55,19.492607122
SH0200L7000_0,21,-99.1951442137108,1.86,19.49037725438649
SH0200L7000_0,22,-99.194885394,1.91,19.490050313
SH0200L7000_0,23,-99.1946732131117,1.95,19.4897660378144
SH0200L7000_0,24,-99.1945217141722,1.98,19.489582086902303
SH0200L7000_0,25,-99.194370229844,2.0,19.489410091278
SH0200L7000_0,26,-99.19418596881808,2.03,19.489238130672
SH0200L7000_0,27,-99.19098427484128,2.48,19.4865137490678
SH0200L7000_0,28,-99.19056011786247,2.55,19.4860857261398
SH0200L7000_0,29,-99.1903480067196,2.59,19.4858076264697
SH0200L7000_0,30,-99.19018431942172,2.62,19.485542387575
SH0200L7000_0,31,-99.1900705617474,2.65,19.4852842693966
SH0200L7000_0,32,-99.1899628152724,2.68,19.4849917131509
SH0200L7000_0,33,-99.1898989253765,2.71,19.484687633625
SH0200L7000_0,34,-99.18985669233808,2.75,19.4843414578303
SH0200L7000_0,35,-99.1898208944899,2.8,19.483931653024
SH0200L7000_0,36,-99.1898201430274,2.84,19.483589648336302
SH0200L7000_0,37,-99.1907147613925,4.89,19.4651628770604
SH0200L7000_0,38,-99.1907326267561,4.94,19.464670135849897
SH0200L7000_0,39,-99.19072712759493,4.98,19.4643023830991
SH0200L7000_0,40,-99.190686188,5.03,19.463859560000103
SH0200L7000_0,41,-99.1905537253806,5.11,19.4631175174474
SH0200L7000_0,42,-99.19043877769008,5.16,19.4627022935888
SH0200L7000_0,43,-99.1902043483998,5.24,19.4620138010334
SH0200L7000_0,44,-99.1899856213669,5.3,19.461546870169
SH0200L7000_0,45,-99.18990228474148,5.32,19.461420229433102
SH0200L7000_0,46,-99.18973572869407,5.34,19.4612673737166
SH0200L7000_0,47,-99.1894897818608,5.37,19.4611287680733
SH0200L7000_0,48,-99.1891707527289,5.41,19.461009725785
SH0200L7000_0,49,-99.1875828228298,5.58,19.46056722962
SH0200L7000_0,50,-99.1874895132516,5.59,19.4605346876773
SH0200L7000_0,51,-99.1873866080779,5.6,19.460487928584
SH0200L7000_0,52,-99.18724534739408,5.62,19.460407733706106
SH0200L7000_0,53,-99.1871393778329,5.63,19.4603265458564
SH0200L7000_0,54,-99.1870505107552,5.65,19.460210908520697
SH0200L7000_0,55,-99.1869929221949,5.66,19.4601124547738
SH0200L7000_0,56,-99.1869503963754,5.68,19.4599594684907
SH0200L7000_0,57,-99.1869300289531,5.7,19.4597844612688
SH0200L7000_0,58,-99.1869265455576,5.72,19.4596044392448
SH0200L7000_0,59,-99.1869394866123,5.74,19.4594270264964
SH0200L7000_0,60,-99.1869518406402,5.76,19.4592400101302
SH0200L7000_0,61,-99.1869915854369,5.79,19.4589964275905
SH0200L7000_0,62,-99.1873770086228,5.98,19.4573417710485
SH0200L7000_0,63,-99.18784471480232,6.19,19.455479220716697
SH0200L7000_0,64,-99.1879234948231,6.22,19.45525978474781
SH0200L7000_0,65,-99.1880120545216,6.24,19.4551104885028
SH0200L7000_0,66,-99.18810199692058,6.26,19.4549912619242
SH0200L7000_0,67,-99.1882660487748,6.29,19.4548063976352
SH0200L7000_0,68,-99.18975972736229,6.51,19.453387078337
SH0200L7000_0,69,-99.1899141376958,6.54,19.4532025143492
SH0200L7000_0,70,-99.1900082107082,6.56,19.453043934827
SH0200L7000_0,71,-99.19008488748491,6.58,19.4528669132746
SH0200L7000_0,72,-99.1901735608173,6.61,19.452598521837896
SH0200L7000_0,73,-99.1909705986171,6.95,19.4495918128403
SH0200L7000_0,74,-99.19100672624393,6.97,19.4494461569218
SH0200L7000_0,75,-99.1910307704364,6.98,19.4493141429798
SH0200L7000_0,76,-99.1915072895701,7.26,19.4468276632159
SH0200L7000_0,77,-99.1915223183961,7.27,19.4467465890992
SH0200L7000_0,78,-99.1915455636923,7.29,19.4465967622123
SH0200L7000_0,79,-99.19196809503391,7.63,19.4435637918242
SH0200L7000_0,80,-99.1920182690118,7.67,19.4432036308537
SH0200L7000_0,81,-99.1920235501432,7.69,19.4430027056153
SH0200L7000_0,82,-99.1920195715652,7.71,19.4428420235455
SH0200L7000_0,83,-99.1919949596077,7.73,19.4426966750894
SH0200L7000_0,84,-99.1919544322817,7.75,19.4425283845332
SH0200L7000_0,85,-99.191907929826,7.76,19.4424232253232
SH0200L7000_0,86,-99.1918574034863,7.77,19.442325721874106
SH0200L7000_0,87,-99.19177458678948,7.79,19.44220529797889
SH0200L7000_0,88,-99.19164364880992,7.81,19.4420318105694
SH0200L7000_0,89,-99.1908918843296,7.95,19.4410203223181
SH0200L7000_0,90,-99.1906453093582,8.0,19.4406840297794
SH0200L7000_0,91,-99.1905546613935,8.02,19.44050985834189
SH0200L7000_0,92,-99.19050814257092,8.03,19.440389395711698
SH0200L7000_0,93,-99.1904737135464,8.04,19.4402612688561
SH0200L7000_0,94,-99.1904331661072,8.06,19.4400738491141
SH0200L7000_0,95,-99.1904089140571,8.08,19.43991159852311
SH0200L7000_0,96,-99.19038031721529,8.1,19.439712370124
SH0200L7000_0,97,-99.190364344,8.12,19.439532421
SH0200L7000_0,98,-99.19042608371272,8.28,19.4380637376278
SH0200L7000_0,99,-99.19046597144992,8.32,19.4376859017621
SH0200L7000_0,100,-99.1911144762668,8.97,19.431848539876
SH0200L7000_0,101,-99.1911594634076,9.01,19.4315233025187
SH0200L7000_0,102,-99.191246104433,9.06,19.4311058938654
SH0200L7000_0,103,-99.1917723749248,9.45,19.427610970394
SH0200L7000_0,104,-99.19271414357692,10.21,19.4208295596054
SH0200L7000_0,105,-99.19274782265492,10.24,19.4205303407644
SH0200L7000_0,106,-99.1927765503453,10.26,19.4203139152132
SH0200L7000_0,107,-99.1928015539958,10.28,19.4201453157207
SH0200L7000_0,108,-99.1928354376593,10.29,19.420026920015303
SH0200L7000_0,109,-99.192878104027,10.31,19.419876235048
SH0200L7000_0,110,-99.1929359016059,10.33,19.4197339028667
SH0200L7000_0,111,-99.19300253401512,10.35,19.4196035168072
SH0200L7000_0,112,-99.1931132181228,10.37,19.41942884843289
SH0200L7000_0,113,-99.1935659906192,10.46,19.4186942969603
SH0200L7000_0,114,-99.1937357951984,10.49,19.4184322898156
SH0200L7000_0,115,-99.1938527329118,10.52,19.4182193566122
SH0200L7000_0,116,-99.1939155482192,10.54,19.418059085453
SH0200L7000_0,117,-99.19397077016328,10.56,19.4178713246578
SH0200L7000_0,118,-99.1940121436284,10.58,19.4176943386125
