shape_id,shape_pt_sequence,shape_pt_lon,shape_dist_traveled,shape_pt_lat
SH0200LA000_0,1,-99.071922936739,0.0,19.4152975242449
SH0200LA000_0,2,-99.0722915524053,0.07,19.4147240689173
SH0200LA000_0,3,-99.07272829212678,0.16,19.4140535090328
SH0200LA000_0,4,-99.0734162814534,0.28,19.413198384485
SH0200LA000_0,5,-99.073783144836,0.34,19.4127636504138
SH0200LA000_0,6,-99.07394232517927,0.37,19.412558906107
SH0200LA000_0,7,-99.074560828789,0.5,19.411588816334
SH0200LA000_0,8,-99.07466155160542,0.52,19.411408962973105
SH0200LA000_0,9,-99.0747421019042,0.54,19.4112042502349
SH0200LA000_0,10,-99.0748306857362,0.57,19.4109325828682
SH0200LA000_0,11,-99.07486891351876,0.59,19.410762319577
SH0200LA000_0,12,-99.0749090959891,0.62,19.4104581529018
SH0200LA000_0,13,-99.07477059536708,0.81,19.4087584840601
SH0200LA000_0,14,-99.0747483312734,0.83,19.408567203798302
SH0200LA000_0,15,-99.07469984974132,0.85,19.40835680536589
SH0200LA000_0,16,-99.0746332395438,0.87,19.4081808464594
SH0200LA000_0,17,-99.0745404146918,0.89,19.407991508019
SH0200LA000_0,18,-99.0744112950441,0.92,19.40778879413089
SH0200LA000_0,19,-99.07425192804388,0.95,19.4075707893513
SH0200LA000_0,20,-99.07404216205929,0.98,19.4073566307556
SH0200LA000_0,21,-99.0738001425234,1.01,19.4071482236957
SH0200LA000_0,22,-99.0735944347058,1.04,19.40698953686569
SH0200LA000_0,23,-99.073208257,1.09,19.4067404200001
SH0200LA000_0,24,-99.0702854089748,1.45,19.4050322400204
SH0200LA000_0,25,-99.0688033904348,1.63,19.40418017550349
SH0200LA000_0,26,-99.066662488,1.9,19.4029018320001
SH0200LA000_0,27,-99.0607615159253,2.62,19.3995399730435
SH0200LA000_0,28,-99.060172631905,2.69,19.3991970409307
SH0200LA000_0,29,-99.0588128084052,2.86,19.3984097764476
SH0200LA000_0,30,-99.0533637087145,3.53,19.3952490761204
SH0200LA000_0,31,-99.0503641694906,3.9,19.3935318696466
SH0200LA000_0,32,-99.0470813714994,4.3,19.3917068805865
SH0200LA000_0,33,-99.0456046754554,4.48,19.390861702691
SH0200LA000_0,34,-99.0438806698435,4.69,19.389899140541
SH0200LA000_0,35,-99.040370842,5.12,19.387902378
SH0200LA000_0,36,-99.0395622053964,5.22,19.3874103874528
SH0200LA000_0,37,-99.0383298773143,5.37,19.3866861405619
SH0200LA000_0,38,-99.03743474646828,5.48,19.3861655400065
