shape_id,shape_pt_sequence,shape_pt_lon,shape_dist_traveled,shape_pt_lat
SH0200LB000_0,1,-99.1523513773835,0.0,19.446185903558
SH0200LB000_0,2,-99.14001109426,1.31,19.4441177857558
SH0200LB000_0,3,-99.1391676813553,1.4,19.4439932357082
SH0200LB000_0,4,-99.1389947382258,1.42,19.4439718483344
SH0200LB000_0,5,-99.1388516815523,1.44,19.443958209016603
SH0200LB000_0,6,-99.1385956964324,1.47,19.443940615446
SH0200LB000_0,7,-99.1370949706503,1.63,19.4438358052011
SH0200LB000_0,8,-99.1369323809877,1.65,19.4438239724546
SH0200LB000_0,9,-99.1367622285038,1.67,19.4438109497105
SH0200LB000_0,10,-99.1308222863727,2.3,19.4432534996668
SH0200LB000_0,11,-99.1307050695726,2.31,19.4432428241674
SH0200LB000_0,12,-99.13060298216008,2.32,19.443239311019003
SH0200LB000_0,13,-99.1275285459683,2.64,19.4430802697037
SH0200LB000_0,14,-99.1273949519345,2.65,19.4430681453143
SH0200LB000_0,15,-99.1272450218393,2.67,19.443058693352803
SH0200LB000_0,16,-99.1258866148632,2.81,19.4429318020813
SH0200LB000_0,17,-99.12568738183307,2.83,19.4429157852215
SH0200LB000_0,18,-99.12549520982652,2.85,19.44289815315389
SH0200LB000_0,19,-99.1236100986771,3.05,19.4427545509938
SH0200LB000_0,20,-99.12343263692688,3.07,19.44273936872089
SH0200LB000_0,21,-99.12323891085008,3.09,19.442715589339603
SH0200LB000_0,22,-99.12306667699993,3.11,19.442668878000102
SH0200LB000_0,23,-99.1229356039868,3.13,19.4426110646401
SH0200LB000_0,24,-99.1227792634473,3.15,19.442521202788697
SH0200LB000_0,25,-99.1226171060652,3.17,19.442416165883103
SH0200LB000_0,26,-99.122477889643,3.19,19.442310094789104
SH0200LB000_0,27,-99.1223462276494,3.21,19.4421939758464
SH0200LB000_0,28,-99.1221919577185,3.23,19.4420518611987
SH0200LB000_0,29,-99.1206318549212,3.48,19.4403777730348
SH0200LB000_0,30,-99.1191536386891,3.72,19.4386936766448
SH0200LB000_0,31,-99.11904768463673,3.74,19.4385682130383
SH0200LB000_0,32,-99.1189249312562,3.76,19.4384483396276
SH0200LB000_0,33,-99.1188467477505,3.77,19.438383830940897
SH0200LB000_0,34,-99.1187811843519,3.78,19.4383432250358
SH0200LB000_0,35,-99.118696710922,3.79,19.43829426259889
SH0200LB000_0,36,-99.118573169327,3.8,19.4382453256514
SH0200LB000_0,37,-99.118412544024,3.82,19.438204698406
SH0200LB000_0,38,-99.1182580580562,3.84,19.43818336245669
SH0200LB000_0,39,-99.1161141761309,4.07,19.4380198758966
SH0200LB000_0,40,-99.1159039448525,4.09,19.4379927516496
SH0200LB000_0,41,-99.11569219319722,4.11,19.437954150810302
SH0200LB000_0,42,-99.1155076531672,4.13,19.4379011857594
SH0200LB000_0,43,-99.1153568340868,4.15,19.437842843008102
SH0200LB000_0,44,-99.1152055318033,4.17,19.4377425125823
SH0200LB000_0,45,-99.1150996041392,4.19,19.4376493265818
SH0200LB000_0,46,-99.1149886119894,4.21,19.4375226682149
SH0200LB000_0,47,-99.11488265431908,4.23,19.4373864421588
SH0200LB000_0,48,-99.11482713066007,4.24,19.4372836596496
SH0200LB000_0,49,-99.1147973458629,4.26,19.4371511792217
SH0200LB000_0,50,-99.11476698579148,4.28,19.436989081291
SH0200LB000_0,51,-99.11476501526624,4.3,19.4367958473355
SH0200LB000_0,52,-99.114772656,4.32,19.436586343
SH0200LB000_0,53,-99.1150228580389,4.47,19.4352565613041
SH0200LB000_0,54,-99.11523713438793,4.61,19.4340557540506
SH0200LB000_0,55,-99.11535668675752,4.7,19.4332798539104
SH0200LB000_0,56,-99.115370404882,4.72,19.4330754053629
SH0200LB000_0,57,-99.1153690205513,4.74,19.4328996597191
SH0200LB000_0,58,-99.1153500251846,4.75,19.4327693563388
SH0200LB000_0,59,-99.1152755252536,4.77,19.432561377158105
SH0200LB000_0,60,-99.11514302599991,4.8,19.432340570000104
SH0200LB000_0,61,-99.1150572813229,4.81,19.4322411069644
SH0200LB000_0,62,-99.1149337075458,4.83,19.43213836754
SH0200LB000_0,63,-99.11480636755373,4.85,19.432055954841896
SH0200LB000_0,64,-99.11465761575,4.87,19.4319902933443
SH0200LB000_0,65,-99.114527784911,4.88,19.4319497264376
SH0200LB000_0,66,-99.1143979608328,4.89,19.4319187238714
SH0200LB000_0,67,-99.1142404296026,4.91,19.4319128453003
SH0200LB000_0,68,-99.1141156748627,4.92,19.4319224882035
SH0200LB000_0,69,-99.1139959701494,4.93,19.4319452789525
SH0200LB000_0,70,-99.1138157949838,4.95,19.4319968008596
SH0200LB000_0,71,-99.1136053911114,4.97,19.4320722526032
SH0200LB000_0,72,-99.1120633742614,5.15,19.4327869572496
SH0200LB000_0,73,-99.111353595,5.23,19.433126396
SH0200LB000_0,74,-99.11062090760478,5.32,19.4335099570437
SH0200LB000_0,75,-99.11012556308268,5.38,19.4337735193694
SH0200LB000_0,76,-99.109766775279,5.42,19.4339611996531
SH0200LB000_0,77,-99.1091932894729,5.49,19.434218828896803
SH0200LB000_0,78,-99.108344228,5.59,19.4345765690001
SH0200LB000_0,79,-99.1055645190671,5.91,19.4357338559628
