Origen,Destino,Distancia,Linea
Pantitlán_L1,Zaragoza_L1,1391.88994872059,1
Zaragoza_L1,Gómez Farías_L1,724.9226592950536,1
Gómez Farías_L1,Boulevard Puerto Aéreo_L1,1265.5125757937735,1
Boulevard Puerto Aéreo_L1,Balbuena_L1,425.5450349614776,1
Balbuena_L1,Moctezuma_L1,677.4858350034809,1
Moctezuma_L1,San Lázaro_L1,809.4470433906556,1
San Lázaro_L1,Candelaria_L1,1122.6455242663542,1
Candelaria_L1,Merced_L1,936.4970444396964,1
Merced_L1,Pino Suárez_L1,791.2065881264317,1
Pino Suárez_L1,Isabel la Católica_L1,651.569910097677,1
Isabel la Católica_L1,Salto del Agua_L1,412.6813263212291,1
Salto del Agua_L1,Balderas_L1,574.8043461497302,1
Balderas_L1,Cuauhtémoc_L1,579.9157868824564,1
Cuauhtémoc_L1,Insurgentes_L1,1250.459438628512,1
Insurgentes_L1,Sevilla_L1,526.6753778596599,1
Sevilla_L1,Chapultepec_L1,740.6552839255644,1
Chapultepec_L1,Juanacatlán_L1,1211.1469522777647,1
Juanacatlán_L1,Tacubaya_L1,1131.935829964281,1
Tacubaya_L1,Observatorio_L1,1439.679683236967,1
Tasqueña_L2,General Anaya_L2,1423.657049324415,2
General Anaya_L2,Ermita_L2,1157.7147408909557,2
Ermita_L2,Portales_L2,725.7891153913685,2
Portales_L2,Nativitas_L2,1246.1666712957804,2
Nativitas_L2,Villa de Cortés_L2,728.2673248809256,2
Villa de Cortés_L2,Xola_L2,1018.099341845682,2
Xola_L2,Viaducto_L2,468.0508568705837,2
Viaducto_L2,Chabacano_L2,1094.8093833087437,2
Chabacano_L2,San Antonio Abad_L2,592.5296728235619,2
San Antonio Abad_L2,Pino Suárez_L2,1026.5195879831658,2
Pino Suárez_L2,Zócalo_L2,1030.1228088857797,2
Zócalo_L2,Allende_L2,559.5489050645741,2
Allende_L2,Bellas Artes_L2,512.1832525014298,2
Bellas Artes_L2,Hidalgo_L2,745.5948110977607,2
Hidalgo_L2,Revolución_L2,628.6021192698076,2
Revolución_L2,San Cosme_L2,895.3059957279484,2
San Cosme_L2,Normal_L2,623.0305835773265,2
Normal_L2,Colegio Militar_L2,736.6934630192457,2
Colegio Militar_L2,Popotla_L2,486.03746236532686,2
Popotla_L2,Cuitláhuac_L2,938.0853957515126,2
Cuitláhuac_L2,Tacuba_L2,823.7383022326468,2
Tacuba_L2,Panteones_L2,1483.3355956054647,2
Panteones_L2,Cuatro Caminos_L2,1803.8004581402888,2
Universidad_L3,Copilco_L3,1547.0634932577889,3
Copilco_L3,Miguel Ángel de Quevedo_L3,1477.750546838016,3
Miguel Ángel de Quevedo_L3,Viveros y  Derechos Humanos_L3,899.2343245040141,3
Viveros y  Derechos Humanos_L3,Coyoacán_L3,1089.0519466813946,3
Coyoacán_L3,Zapata_L3,1151.5611850214327,3
Zapata_L3,División del Norte_L3,1202.7661004672,3
División del Norte_L3,Eugenia_L3,599.9112275539392,3
Eugenia_L3,Etiopía y Plaza de la Transparencia_L3,1245.086490868966,3
Etiopía y Plaza de la Transparencia_L3,Centro Médico_L3,1136.768456334762,3
