Nombre_Estacion,Latitud,Longitud,Sequence,ID,Linea
Pantitlán,19.4163340858551,-99.0747357268108,"176,192,1,1","SH0200L1000_0,SH0200L5000_0,SH0200L9000_0,SH0200LA000_0","1,5,9,A"
Zaragoza,19.4117458279428,-99.0819843608407,159,SH0200L1000_0,1
Gómez Farías,19.4151336690424,-99.0878910855324,158,SH0200L1000_0,1
Boulevard Puerto Aéreo,19.4210459161895,-99.0982039725298,156,SH0200L1000_0,1
Balbuena,19.4228570995773,-99.10177795689958,154,SH0200L1000_0,1
Moctezuma,19.4257105807,-99.1074847726102,153,SH0200L1000_0,1
San Lázaro,19.4294317225298,-99.11402815009993,"145,71","SH0200L1000_0,SH0200LB000_0","1,B"
Candelaria,19.4296035535436,-99.12090815102007,"116,19","SH0200L1000_0,SH0200L4000_0","1,4"
Merced,19.4256097122237,-99.1256683319376,101,SH0200L1000_0,1
Pino Suárez,19.4259557797721,-99.13304867458928,"82,134","SH0200L1000_0,SH0200L2000_0","1,2"
Isabel la Católica,19.4265210713684,-99.139224182149,81,SH0200L1000_0,1
Salto del Agua,19.4269216512999,-99.1431178866974,"68,11","SH0200L1000_0,SH0200L8000_0","1,8"
Balderas,19.427240620000106,-99.148566441,"59,64","SH0200L1000_0,SH0200L3000_0","1,3"
Cuauhtémoc,19.4258288049241,-99.1538840535473,57,SH0200L1000_0,1
Insurgentes,19.4231262155624,-99.1654443744829,54,SH0200L1000_0,1
Sevilla,19.4220189866505,-99.1703215058211,52,SH0200L1000_0,1
Chapultepec ,19.4205838250243,-99.1772095521541,50,SH0200L1000_0,1
Juanacatlán,19.4114519285887,-99.18258151771629,39,SH0200L1000_0,1
Tacubaya,19.4025138026273,-99.1876365265964,"26,142,140","SH0200L1000_0,SH0200L7000_0,SH0200L9000_0","1,7,9"
Observatorio,19.3982823756763,-99.2004047457727,1,SH0200L1000_0,1
Tasqueña,19.3437570980861,-99.1395327765196,193,SH0200L2000_0,2
General Anaya,19.3525259736702,-99.1452222254731,168,SH0200L2000_0,2
Ermita,19.3627120397951,-99.1427715609471,"164,64","SH0200L2000_0,SH020L12000_0","2,12"
Portales,19.36918718838189,-99.1416862222026,163,SH0200L2000_0,2
Nativitas,19.3803379424333,-99.1400607560469,157,SH0200L2000_0,2
Villa de Cortés,19.3868495191818,-99.13907118425672,156,SH0200L2000_0,2
Xola,19.395952475590104,-99.1376879679466,153,SH0200L2000_0,2
Viaducto,19.4001319346972,-99.13701318562644,152,SH0200L2000_0,2
Chabacano,19.4099172895338,-99.1355000207003,"149,29,75","SH0200L2000_0,SH0200L8000_0,SH0200L9000_0","2,8,9"
San Antonio Abad,19.4152113039618,-99.1346668184582,148,SH0200L2000_0,2
Zócalo,19.43332917,-99.1322112349999,128,SH0200L2000_0,2
Allende,19.435420373000103,-99.135958425,117,SH0200L2000_0,2
Bellas Artes,19.436221043231303,-99.1407610335334,"115,7","SH0200L2000_0,SH0200L8000_0","2,8"
Hidalgo,19.4376492371919,-99.14769873537908,"113,56","SH0200L2000_0,SH0200L3000_0","2,3"
Revolución,19.438936376995,-99.1535225467943,107,SH0200L2000_0,2
San Cosme,19.442174476052,-99.161334845102,103,SH0200L2000_0,2
Normal,19.4442713340619,-99.166777676069,88,SH0200L2000_0,2
Colegio Militar,19.448933257559,-99.1715500963544,79,SH0200L2000_0,2
Popotla,19.4522302222651,-99.1744988601433,72,SH0200L2000_0,2
Cuitláhuac,19.4573304062518,-99.1815909713096,56,SH0200L2000_0,2
Tacuba,19.4595613546235,-99.1889857337813,"47,61","SH0200L2000_0,SH0200L7000_0","2,7"
Panteones,19.4586136732868,-99.20286481148572,27,SH0200L2000_0,2
Cuatro Caminos,19.4595932088305,-99.215842489255,1,SH0200L2000_0,2
Universidad,19.3243534831642,-99.1739384554613,156,SH0200L3000_0,3
Copilco,19.3365855019715,-99.1778284769013,142,SH0200L3000_0,3
Miguel Ángel de Quevedo,19.3472357838387,-99.1805547374596,130,SH0200L3000_0,3
Viveros y  Derechos Humanos,19.35362196086389,-99.1758005004939,114,SH0200L3000_0,3
Coyoacán,19.3619878102542,-99.17057094643091,104,SH0200L3000_0,3
Zapata,19.3707930345434,-99.1647634807563,"95,19","SH0200L3000_0,SH020L12000_0","3,12"
División del Norte,19.3801345121089,-99.1589179361435,93,SH0200L3000_0,3
Eugenia,19.38535076116269,-99.1573997632629,89,SH0200L3000_0,3
Etiopía y Plaza de la Transparencia,19.396499785000103,-99.155985727,86,SH0200L3000_0,3
