Nombre_Estacion,Latitud,Longitud,Linea
Pantitlán,19.4163340858551,-99.0747357268108,1
Zaragoza,19.4117458279428,-99.0819843608407,1
Gómez Farías,19.4151336690424,-99.0878910855324,1
Boulevard Puerto Aéreo,19.4210459161895,-99.0982039725298,1
Balbuena,19.4228570995773,-99.10177795689958,1
Moctezuma,19.4257105807,-99.1074847726102,1
San Lázaro,19.4294317225298,-99.11402815009993,1
Candelaria,19.4296035535436,-99.12090815102007,1
Merced,19.4256097122237,-99.1256683319376,1
Pino Suárez,19.4259557797721,-99.13304867458928,1
Isabel la Católica,19.4265210713684,-99.139224182149,1
Salto del Agua,19.4269216512999,-99.1431178866974,1
Balderas,19.427240620000106,-99.148566441,1
Cuauhtémoc,19.4258288049241,-99.1538840535473,1
Insurgentes,19.4231262155624,-99.1654443744829,1
Sevilla,19.4220189866505,-99.1703215058211,1
Chapultepec ,19.4205838250243,-99.1772095521541,1
Juanacatlán,19.4114519285887,-99.18258151771629,1
Tacubaya,19.4025138026273,-99.1876365265964,1
Observatorio,19.3982823756763,-99.2004047457727,1
Tasqueña,19.3437570980861,-99.1395327765196,2
General Anaya,19.3525259736702,-99.1452222254731,2
Ermita,19.4366124769787,-99.14289069281358,2
Portales,19.36918718838189,-99.1416862222026,2
Nativitas,19.3803379424333,-99.1400607560469,2
Villa de Cortés,19.435880711059102,-99.13900030186008,2
Xola,19.395952475590104,-99.1376879679466,2
Viaducto,19.4001319346972,-99.13701318562644,2
Chabacano,19.4084376791881,-99.13573697582292,2
San Antonio Abad,19.4152113039618,-99.1346668184582,2
Zócalo,19.4347595188749,-99.132283791192,2
Allende,19.4016625652255,-99.13677718133827,2
Bellas Artes,19.36918718838189,-99.1416862222026,2
Hidalgo,19.4376492371919,-99.14769873537908,2
Revolución,19.438936376995,-99.1535225467943,2
San Cosme,19.442174476052,-99.161334845102,2
Normal,19.4442713340619,-99.166777676069,2
Colegio Militar,19.448933257559,-99.1715500963544,2
Popotla,19.4522302222651,-99.1744988601433,2
